Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,Diet_factor,Heating Energy Source_factor,Recycling_factor,Cooking_With_factor,Social Activity_factor,total_co2,Monthly Grocery Bill_share,Vehicle Monthly Distance Km_share,Waste Bag Weekly Count_share,How Long TV PC Daily Hour_share,How Many New Clothes Monthly_share,How Long Internet Daily Hour_share,Diet_factor_share,Heating Energy Source_factor_share,Recycling_factor_share,Cooking_With_factor_share,Social Activity_factor_share
obese,male,vegetarian,more frequently,coal,walk/bicycle,never,111,very frequently,69,medium,5,9,4,4,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3226,Other,Navi Mumbai,India,0.0,0.0,0.0,0.0,0.0,202.0,0.5495049504950495,0.3415841584158416,0.024752475247524754,0.04455445544554455,0.019801980198019802,0.019801980198019802,0.0,0.0,0.0,0.0,0.0
underweight,female,omnivore,twice a day,coal,walk/bicycle,often,114,rarely,92,large,3,18,27,4,Yes,['Plastic'],['Stove'],1593,Engineering,Delhi,India,0.0,0.0,0.0,0.0,0.0,258.0,0.4418604651162791,0.35658914728682173,0.011627906976744186,0.06976744186046512,0.10465116279069768,0.015503875968992248,0.0,0.0,0.0,0.0,0.0
underweight,female,vegan,less frequently,electricity,private,sometimes,111,rarely,2893,large,6,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1732,Finance,Bengaluru,India,0.0,0.0,0.0,0.0,0.0,3049.0,0.036405378812725486,0.9488356838307642,0.0019678583142013774,0.004263693014102984,0.005247622171203673,0.0032797638570022957,0.0,0.0,0.0,0.0,0.0
obese,male,pescatarian,less frequently,natural gas,public,often,123,rarely,1989,small,6,13,23,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",1743,Sales,Chennai,India,0.0,0.0,0.0,0.0,0.0,2162.0,0.05689176688251619,0.919981498612396,0.0027752081406105457,0.006012950971322849,0.010638297872340425,0.0037002775208140612,0.0,0.0,0.0,0.0,0.0
overweight,female,vegetarian,less frequently,electricity,public,never,225,very frequently,692,small,6,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2101,Operations,Kolkata,India,0.0,0.0,0.0,0.0,0.0,971.0,0.23171987641606592,0.7126673532440783,0.006179196704428424,0.009268795056642637,0.024716786817713696,0.015447991761071062,0.0,0.0,0.0,0.0,0.0
normal,male,pescatarian,more frequently,electricity,walk/bicycle,often,219,frequently,7,extra large,4,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2609,Student,Hyderabad,India,0.0,0.0,0.0,0.0,0.0,309.0,0.7087378640776699,0.022653721682847898,0.012944983818770227,0.0744336569579288,0.13592233009708737,0.045307443365695796,0.0,0.0,0.0,0.0,0.0
overweight,female,pescatarian,daily,wood,public,often,104,rarely,948,large,6,1,6,22,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",1565,Other,Pune,India,0.0,0.0,0.0,0.0,0.0,1087.0,0.09567617295308188,0.8721251149954001,0.005519779208831647,0.0009199632014719411,0.005519779208831647,0.020239190432382703,0.0,0.0,0.0,0.0,0.0
underweight,male,vegan,more frequently,electricity,private,often,126,very frequently,7622,medium,2,6,37,9,Sometimes,[],['Stove'],5272,Engineering,Jaipur,India,0.0,0.0,0.0,0.0,0.0,7802.0,0.0161497052037939,0.9769289925660087,0.0002563445270443476,0.0007690335811330429,0.004742373750320431,0.0011535503716995643,0.0,0.0,0.0,0.0,0.0
normal,female,omnivore,more frequently,wood,walk/bicycle,often,288,never,51,small,4,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1220,Finance,Ahmedabad,India,0.0,0.0,0.0,0.0,0.0,386.0,0.7461139896373057,0.13212435233160622,0.010362694300518135,0.038860103626943004,0.05699481865284974,0.015544041450777202,0.0,0.0,0.0,0.0,0.0
normal,male,vegan,twice a day,electricity,private,often,282,rarely,2237,large,6,0,8,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1300,Sales,Mumbai,India,0.0,0.0,0.0,0.0,0.0,2538.0,0.1111111111111111,0.8814026792750197,0.002364066193853428,0.0,0.0031520882584712374,0.001970055161544523,0.0,0.0,0.0,0.0,0.0
obese,female,pescatarian,less frequently,wood,public,never,69,rarely,1804,large,1,6,3,7,No,['Metal'],"['Stove', 'Oven', 'Microwave']",1024,Operations,Navi Mumbai,India,0.0,0.0,0.0,0.0,0.0,1890.0,0.03650793650793651,0.9544973544973545,0.0005291005291005291,0.0031746031746031746,0.0015873015873015873,0.003703703703703704,0.0,0.0,0.0,0.0,0.0
overweight,male,omnivore,twice a day,wood,walk/bicycle,sometimes,110,never,85,small,3,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",706,Student,Delhi,India,0.0,0.0,0.0,0.0,0.0,219.0,0.502283105022831,0.3881278538812785,0.0136986301369863,0.0639269406392694,0.0182648401826484,0.0136986301369863,0.0,0.0,0.0,0.0,0.0
obese,male,vegetarian,daily,coal,private,often,165,frequently,472,small,4,17,24,20,Yes,"['Paper', 'Glass']",['Microwave'],2582,Other,Bengaluru,India,0.0,0.0,0.0,0.0,0.0,702.0,0.23504273504273504,0.6723646723646723,0.005698005698005698,0.024216524216524215,0.03418803418803419,0.02849002849002849,0.0,0.0,0.0,0.0,0.0
overweight,male,vegan,daily,coal,private,sometimes,62,very frequently,5737,medium,1,5,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",4284,Engineering,Chennai,India,0.0,0.0,0.0,0.0,0.0,5845.0,0.010607356715141146,0.9815226689478187,0.00017108639863130882,0.000855431993156544,0.003421727972626176,0.003421727972626176,0.0,0.0,0.0,0.0,0.0
obese,female,pescatarian,less frequently,electricity,walk/bicycle,sometimes,94,rarely,88,medium,6,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",807,Finance,Kolkata,India,0.0,0.0,0.0,0.0,0.0,208.0,0.4519230769230769,0.4230769230769231,0.028846153846153848,0.08173076923076923,0.0,0.014423076923076924,0.0,0.0,0.0,0.0,0.0
underweight,female,vegan,daily,electricity,public,often,259,frequently,558,large,4,4,50,23,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']",1991,Sales,Hyderabad,India,0.0,0.0,0.0,0.0,0.0,898.0,0.2884187082405345,0.621380846325167,0.004454342984409799,0.004454342984409799,0.0556792873051225,0.025612472160356347,0.0,0.0,0.0,0.0,0.0
obese,male,vegetarian,less frequently,electricity,public,sometimes,67,rarely,752,large,3,14,37,14,Sometimes,['Plastic'],['Stove'],1817,Operations,Pune,India,0.0,0.0,0.0,0.0,0.0,887.0,0.07553551296505073,0.8478015783540023,0.0033821871476888386,0.015783540022547914,0.04171364148816235,0.015783540022547914,0.0,0.0,0.0,0.0,0.0
obese,male,pescatarian,daily,wood,walk/bicycle,never,130,rarely,71,small,2,10,15,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1490,Student,Jaipur,India,0.0,0.0,0.0,0.0,0.0,238.0,0.5462184873949579,0.29831932773109243,0.008403361344537815,0.04201680672268908,0.06302521008403361,0.04201680672268908,0.0,0.0,0.0,0.0,0.0
underweight,female,omnivore,less frequently,electricity,public,never,258,frequently,1028,small,2,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1561,Other,Ahmedabad,India,0.0,0.0,0.0,0.0,0.0,1349.0,0.19125277983691624,0.7620459599703484,0.0014825796886582653,0.009636767976278725,0.03261675315048184,0.0029651593773165306,0.0,0.0,0.0,0.0,0.0
obese,female,vegan,more frequently,wood,public,sometimes,189,frequently,1527,medium,4,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2202,Engineering,Mumbai,India,0.0,0.0,0.0,0.0,0.0,1787.0,0.10576385002797986,0.8545047565752658,0.002238388360380526,0.012870733072188025,0.019026301063234472,0.005595970900951315,0.0,0.0,0.0,0.0,0.0
underweight,female,vegetarian,daily,coal,walk/bicycle,sometimes,262,frequently,88,large,5,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2024,Finance,Navi Mumbai,India,0.0,0.0,0.0,0.0,0.0,402.0,0.6517412935323383,0.21890547263681592,0.012437810945273632,0.05970149253731343,0.01990049751243781,0.03731343283582089,0.0,0.0,0.0,0.0,0.0
normal,female,pescatarian,daily,natural gas,walk/bicycle,never,157,frequently,73,medium,4,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1659,Sales,Delhi,India,0.0,0.0,0.0,0.0,0.0,299.0,0.5250836120401338,0.24414715719063546,0.013377926421404682,0.0033444816053511705,0.14046822742474915,0.07357859531772576,0.0,0.0,0.0,0.0,0.0
normal,female,pescatarian,daily,wood,private,often,280,very frequently,8320,small,5,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911,Operations,Bengaluru,India,0.0,0.0,0.0,0.0,0.0,8618.0,0.03249013692271989,0.9654212114179624,0.0005801810164771409,0.0010443258296588536,0.0,0.0004641448131817127,0.0,0.0,0.0,0.0,0.0
normal,male,vegetarian,twice a day,coal,walk/bicycle,sometimes,121,never,72,medium,6,11,4,10,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1204,Student,Chennai,India,0.0,0.0,0.0,0.0,0.0,224.0,0.5401785714285714,0.32142857142857145,0.026785714285714284,0.049107142857142856,0.017857142857142856,0.044642857142857144,0.0,0.0,0.0,0.0,0.0
underweight,female,vegan,less frequently,coal,walk/bicycle,often,174,very frequently,9,large,2,1,40,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2431,Other,Kolkata,India,0.0,0.0,0.0,0.0,0.0,241.0,0.7219917012448133,0.03734439834024896,0.008298755186721992,0.004149377593360996,0.16597510373443983,0.06224066390041494,0.0,0.0,0.0,0.0,0.0
obese,male,vegetarian,daily,electricity,walk/bicycle,sometimes,173,frequently,60,medium,2,16,14,20,Sometimes,"['Plastic', 'Glass']",[],1640,Engineering,Hyderabad,India,0.0,0.0,0.0,0.0,0.0,285.0,0.6070175438596491,0.21052631578947367,0.007017543859649123,0.056140350877192984,0.04912280701754386,0.07017543859649122,0.0,0.0,0.0,0.0,0.0
underweight,male,vegan,twice a day,natural gas,walk/bicycle,sometimes,199,frequently,13,medium,5,17,6,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1648,Finance,Pune,India,0.0,0.0,0.0,0.0,0.0,255.0,0.7803921568627451,0.050980392156862744,0.0196078431372549,0.06666666666666667,0.023529411764705882,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
underweight,male,omnivore,less frequently,wood,walk/bicycle,never,94,rarely,32,small,6,15,5,17,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1002,Sales,Jaipur,India,0.0,0.0,0.0,0.0,0.0,169.0,0.5562130177514792,0.1893491124260355,0.03550295857988166,0.08875739644970414,0.029585798816568046,0.10059171597633136,0.0,0.0,0.0,0.0,0.0
underweight,female,pescatarian,less frequently,coal,walk/bicycle,never,64,frequently,49,small,1,19,47,16,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1771,Operations,Ahmedabad,India,0.0,0.0,0.0,0.0,0.0,196.0,0.32653061224489793,0.25,0.00510204081632653,0.09693877551020408,0.23979591836734693,0.08163265306122448,0.0,0.0,0.0,0.0,0.0
overweight,female,omnivore,twice a day,electricity,public,never,100,very frequently,1351,extra large,1,20,24,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2028,Student,Mumbai,India,0.0,0.0,0.0,0.0,0.0,1501.0,0.06662225183211193,0.9000666222518321,0.0006662225183211193,0.013324450366422385,0.015989340439706862,0.0033311125916055963,0.0,0.0,0.0,0.0,0.0
normal,female,vegetarian,more frequently,coal,public,often,240,very frequently,1726,medium,2,15,19,5,No,"['Glass', 'Metal']","['Stove', 'Oven']",2540,Other,Navi Mumbai,India,0.0,0.0,0.0,0.0,0.0,2007.0,0.11958146487294469,0.8599900348779272,0.000996512207274539,0.007473841554559043,0.009466865969108122,0.002491280518186348,0.0,0.0,0.0,0.0,0.0
underweight,female,omnivore,daily,electricity,public,sometimes,245,never,1021,medium,7,14,48,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1386,Engineering,Delhi,India,0.0,0.0,0.0,0.0,0.0,1345.0,0.1821561338289963,0.7591078066914498,0.0052044609665427505,0.010408921933085501,0.035687732342007436,0.007434944237918215,0.0,0.0,0.0,0.0,0.0
normal,female,pescatarian,daily,coal,walk/bicycle,sometimes,270,rarely,62,small,5,22,21,11,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1679,Finance,Bengaluru,India,0.0,0.0,0.0,0.0,0.0,391.0,0.690537084398977,0.1585677749360614,0.01278772378516624,0.056265984654731455,0.05370843989769821,0.028132992327365727,0.0,0.0,0.0,0.0,0.0
overweight,male,omnivore,daily,wood,private,often,294,very frequently,9488,small,5,16,20,18,Yes,['Glass'],[],3141,Sales,Chennai,India,0.0,0.0,0.0,0.0,0.0,9841.0,0.029875012701961183,0.9641296616197541,0.000508078447312265,0.001625851031399248,0.00203231378924906,0.001829082410324154,0.0,0.0,0.0,0.0,0.0
normal,male,vegetarian,more frequently,wood,public,never,87,very frequently,1037,large,4,0,11,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2627,Operations,Kolkata,India,0.0,0.0,0.0,0.0,0.0,1163.0,0.07480653482373173,0.8916595012897678,0.0034393809114359416,0.0,0.009458297506448839,0.02063628546861565,0.0,0.0,0.0,0.0,0.0
underweight,male,pescatarian,less frequently,wood,private,never,209,never,9555,large,2,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188,Student,Hyderabad,India,0.0,0.0,0.0,0.0,0.0,9825.0,0.02127226463104326,0.9725190839694656,0.0002035623409669211,0.0013231552162849872,0.004376590330788804,0.0003053435114503817,0.0,0.0,0.0,0.0,0.0
underweight,male,pescatarian,twice a day,electricity,private,never,124,never,9031,extra large,5,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174,Other,Pune,India,0.0,0.0,0.0,0.0,0.0,9177.0,0.013512040971995206,0.9840906614361992,0.0005448403617740002,0.00010896807235480004,0.0011986487959028006,0.0005448403617740002,0.0,0.0,0.0,0.0,0.0
overweight,female,vegetarian,more frequently,natural gas,public,sometimes,276,frequently,1461,large,7,19,5,12,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2327,Engineering,Jaipur,India,0.0,0.0,0.0,0.0,0.0,1780.0,0.1550561797752809,0.8207865168539326,0.003932584269662922,0.010674157303370787,0.0028089887640449437,0.006741573033707865,0.0,0.0,0.0,0.0,0.0
overweight,female,vegan,daily,wood,walk/bicycle,never,90,very frequently,39,medium,3,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1822,Finance,Ahmedabad,India,0.0,0.0,0.0,0.0,0.0,170.0,0.5294117647058824,0.22941176470588234,0.01764705882352941,0.12941176470588237,0.041176470588235294,0.052941176470588235,0.0,0.0,0.0,0.0,0.0
obese,female,vegan,less frequently,natural gas,private,sometimes,136,never,5033,medium,6,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665,Sales,Mumbai,India,0.0,0.0,0.0,0.0,0.0,5242.0,0.025944296070202214,0.960129721480351,0.0011446012972148034,0.0,0.008202975963372758,0.004578405188859214,0.0,0.0,0.0,0.0,0.0
underweight,male,vegan,daily,electricity,public,sometimes,246,frequently,1065,extra large,4,22,43,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2129,Operations,Navi Mumbai,India,0.0,0.0,0.0,0.0,0.0,1387.0,0.1773612112472963,0.7678442682047585,0.002883922134102379,0.015861571737563085,0.031002162941600575,0.005046863734679163,0.0,0.0,0.0,0.0,0.0
normal,male,pescatarian,less frequently,wood,public,often,94,rarely,927,medium,5,18,10,21,Yes,"['Paper', 'Glass']",['Oven'],1425,Student,Delhi,India,0.0,0.0,0.0,0.0,0.0,1075.0,0.08744186046511628,0.8623255813953489,0.004651162790697674,0.01674418604651163,0.009302325581395349,0.01953488372093023,0.0,0.0,0.0,0.0,0.0
overweight,male,vegetarian,more frequently,electricity,private,never,253,frequently,2277,large,1,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1690,Other,Bengaluru,India,0.0,0.0,0.0,0.0,0.0,2562.0,0.09875097580015613,0.8887587822014051,0.00039032006245121,0.0,0.00429352068696331,0.0078064012490242,0.0,0.0,0.0,0.0,0.0
obese,female,omnivore,more frequently,natural gas,walk/bicycle,never,200,rarely,97,medium,7,13,18,0,Sometimes,['Metal'],"['Stove', 'Microwave']",1717,Engineering,Chennai,India,0.0,0.0,0.0,0.0,0.0,335.0,0.5970149253731343,0.28955223880597014,0.020895522388059702,0.03880597014925373,0.05373134328358209,0.0,0.0,0.0,0.0,0.0,0.0
normal,male,vegan,less frequently,coal,private,sometimes,281,frequently,7272,large,2,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060,Finance,Kolkata,India,0.0,0.0,0.0,0.0,0.0,7602.0,0.036963956853459615,0.9565903709550119,0.00026308866087871614,0.0005261773217574323,0.004998684556695606,0.0006577216521967903,0.0,0.0,0.0,0.0,0.0
obese,female,vegetarian,less frequently,electricity,private,sometimes,82,rarely,5260,extra large,3,14,18,17,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3262,Sales,Hyderabad,India,0.0,0.0,0.0,0.0,0.0,5394.0,0.015202076381164257,0.975157582499073,0.0005561735261401557,0.0025954764553207266,0.0033370411568409346,0.0031516499814608825,0.0,0.0,0.0,0.0,0.0
overweight,female,pescatarian,more frequently,coal,public,often,73,rarely,1750,extra large,1,9,30,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1674,Operations,Pune,India,0.0,0.0,0.0,0.0,0.0,1875.0,0.038933333333333334,0.9333333333333333,0.0005333333333333334,0.0048,0.016,0.0064,0.0,0.0,0.0,0.0,0.0
obese,male,vegetarian,daily,natural gas,private,often,246,frequently,2998,small,4,0,36,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",3135,Student,Jaipur,India,0.0,0.0,0.0,0.0,0.0,3287.0,0.07484027989047765,0.912077882567691,0.001216915120170368,0.0,0.010952236081533314,0.0009126863401277761,0.0,0.0,0.0,0.0,0.0
underweight,male,pescatarian,less frequently,natural gas,private,sometimes,98,rarely,9147,extra large,5,1,49,20,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4465,Other,Ahmedabad,India,0.0,0.0,0.0,0.0,0.0,9320.0,0.010515021459227468,0.9814377682403433,0.000536480686695279,0.00010729613733905579,0.005257510729613734,0.002145922746781116,0.0,0.0,0.0,0.0,0.0
overweight,male,pescatarian,twice a day,electricity,public,never,256,rarely,1947,extra large,3,23,33,8,Sometimes,[],['Stove'],1984,Engineering,Mumbai,India,0.0,0.0,0.0,0.0,0.0,2270.0,0.11277533039647578,0.8577092511013216,0.0013215859030837004,0.01013215859030837,0.014537444933920705,0.003524229074889868,0.0,0.0,0.0,0.0,0.0
overweight,female,vegetarian,less frequently,electricity,private,often,287,very frequently,4885,large,1,21,21,3,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3246,Finance,Navi Mumbai,India,0.0,0.0,0.0,0.0,0.0,5218.0,0.05500191644308164,0.9361824453813722,0.00019164430816404754,0.004024530471444998,0.004024530471444998,0.0005749329244921426,0.0,0.0,0.0,0.0,0.0
obese,female,omnivore,daily,electricity,walk/bicycle,never,63,frequently,20,large,4,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1351,Sales,Delhi,India,0.0,0.0,0.0,0.0,0.0,108.0,0.5833333333333334,0.18518518518518517,0.037037037037037035,0.009259259259259259,0.05555555555555555,0.12962962962962962,0.0,0.0,0.0,0.0,0.0
obese,male,vegetarian,less frequently,coal,walk/bicycle,often,158,never,23,extra large,1,24,33,2,No,['Glass'],['Stove'],1929,Operations,Bengaluru,India,0.0,0.0,0.0,0.0,0.0,241.0,0.6556016597510373,0.0954356846473029,0.004149377593360996,0.0995850622406639,0.13692946058091288,0.008298755186721992,0.0,0.0,0.0,0.0,0.0
obese,male,omnivore,twice a day,electricity,walk/bicycle,often,241,frequently,34,large,5,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719,Student,Chennai,India,0.0,0.0,0.0,0.0,0.0,329.0,0.7325227963525835,0.1033434650455927,0.015197568389057751,0.0729483282674772,0.04559270516717325,0.030395136778115502,0.0,0.0,0.0,0.0,0.0
obese,female,vegetarian,twice a day,coal,walk/bicycle,never,176,frequently,59,large,1,11,41,19,Yes,['Paper'],"['Stove', 'Oven']",2336,Other,Kolkata,India,0.0,0.0,0.0,0.0,0.0,307.0,0.5732899022801303,0.19218241042345277,0.003257328990228013,0.035830618892508145,0.13355048859934854,0.06188925081433225,0.0,0.0,0.0,0.0,0.0
normal,female,vegetarian,less frequently,wood,public,often,189,never,682,small,6,0,35,3,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1270,Engineering,Hyderabad,India,0.0,0.0,0.0,0.0,0.0,915.0,0.20655737704918034,0.7453551912568306,0.006557377049180328,0.0,0.03825136612021858,0.003278688524590164,0.0,0.0,0.0,0.0,0.0
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,often,214,never,10,large,6,20,12,24,Yes,['Glass'],"['Stove', 'Microwave']",1803,Finance,Pune,India,0.0,0.0,0.0,0.0,0.0,286.0,0.7482517482517482,0.03496503496503497,0.02097902097902098,0.06993006993006994,0.04195804195804196,0.08391608391608392,0.0,0.0,0.0,0.0,0.0
